//DOXY BGC Argo audit report 
//File created on 04-Oct-2023 10:17:06 by jplant
//Created with bgc_argo_DOXY_audit_jp
//BGC Argo float list generated from argo_bio-profile_index.txt.gz
//All data were extracted from the merged synthetic profile (Sprof) files
//Sprof files were dowloaded from the GDAC on 09/29/2023
//154 of 2064 inspected floats did not have Sprof files
//Data inclusion filters:
//   DOXY profile not on grey list
//   PRES <= 20.0
//   TEMP_QC or PSAL_QC or DOXY_QC or DOXY_ADJUSTED_QC not equal 4
//   (PSAL_QC & DOXY_QC) not equal 3
//   (PSAL_ADJUSTED_ QC & DOXY_ADJUSTED_QC) not equal 3
//224407 profiles inspected
//Outlier metric = DOXY gain (raw & adjusted data)
//Doxy gain (G) =  [WOA O2 %sat / DOXY O2 %sat]
//Outlier detection method = Median Absolute Deviation (MAD)
//DOXY median gain = 1.0756
//DOXY MAD gain = 0.0447
//DOXY_ADJUSTED median gain = 1.0056
//DOXY_ADJUSTED MAD gain = 0.0245
//Outlier threshhold, Z_adj > 5 or (Z_raw > 5 & Zadj = NaN)
//Reference:
//    Leys et al. (2013). Detecting outliers: Do not use standard deviation around the mean,
//    use absolute deviation around the median. https://doi.org/10.1016/j.jesp.2013.03.013
DAC	PI	SPROF DATE_UPDATE	DATA MODE	WMO	cycle	profile date	lon	lat	WOA T	WOA S	WOA O2 %sat	PRES	TEMP	PSAL	flt O2 %sat	flt O2adj %sat	WOA G_raw	WOA G_adj	Z_WOAraw	Z_WOAadj
meds	Blair Greenan	06/28/22 22:55	R	4901786	32	01/01/17 12:49	-140.92	50.15	7.51	32.51	100.28	10.05	6.96	32.77	119.38	NaN	0.84	NaN	5.27	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	33	01/11/17 12:55	-140.85	50.09	7.22	32.52	99.01	10.41	6.58	32.78	119.21	NaN	0.83	NaN	5.48	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	34	01/21/17 12:52	-140.93	49.94	7.02	32.54	98.57	10.44	6.52	32.80	118.78	NaN	0.83	NaN	5.50	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	35	01/31/17 12:55	-141.14	49.94	6.84	32.55	98.72	10.48	6.63	32.83	118.89	NaN	0.83	NaN	5.49	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	36	02/10/17 12:57	-141.33	49.91	6.66	32.56	98.81	9.85	6.48	32.87	119.09	NaN	0.83	NaN	5.50	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	37	02/20/17 12:56	-141.42	49.88	6.57	32.57	99.19	10.66	6.38	32.86	119.38	NaN	0.83	NaN	5.48	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	38	03/02/17 12:51	-141.52	49.81	6.58	32.58	99.97	10.96	6.20	32.83	120.38	NaN	0.83	NaN	5.49	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	39	03/12/17 12:54	-141.58	49.81	6.57	32.59	100.73	9.59	5.86	32.80	120.40	NaN	0.84	NaN	5.35	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	40	03/22/17 12:59	-141.66	49.87	6.56	32.59	100.84	10.47	5.89	32.82	120.16	NaN	0.84	NaN	5.29	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	41	04/01/17 12:49	-141.75	49.90	6.57	32.59	100.68	10.80	5.86	32.80	121.12	NaN	0.83	NaN	5.47	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	42	04/11/17 12:56	-141.86	49.95	6.57	32.60	100.59	10.22	6.39	32.80	121.52	NaN	0.83	NaN	5.55	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	43	04/21/17 12:58	-141.85	49.98	6.74	32.59	101.32	10.80	6.47	32.79	121.98	NaN	0.83	NaN	5.48	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	44	05/01/17 12:45	-141.88	50.03	7.01	32.59	102.77	10.79	6.91	32.75	123.06	NaN	0.84	NaN	5.38	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	45	05/11/17 12:51	-141.90	50.10	7.29	32.59	104.20	10.22	7.29	32.74	123.54	NaN	0.84	NaN	5.20	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	46	05/21/17 12:56	-141.98	50.11	7.77	32.58	104.97	10.16	7.68	32.66	123.83	NaN	0.85	NaN	5.10	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	47	05/31/17 12:52	-141.92	50.12	8.44	32.56	105.20	10.12	8.57	32.63	125.33	NaN	0.84	NaN	5.29	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	48	06/10/17 12:49	-141.97	50.17	9.06	32.54	105.45	10.79	9.05	32.48	124.52	NaN	0.85	NaN	5.12	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	49	06/20/17 12:53	-142.03	50.26	9.78	32.52	105.55	9.42	9.87	32.52	123.90	NaN	0.85	NaN	5.01	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	50	06/30/17 12:55	-141.99	50.40	10.53	32.50	105.44	10.45	10.02	32.55	124.35	NaN	0.85	NaN	5.10	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	51	07/10/17 12:51	-141.81	50.46	11.34	32.49	105.31	10.94	10.73	32.44	124.95	NaN	0.84	NaN	5.21	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	52	07/20/17 12:53	-141.67	50.49	12.08	32.47	105.18	10.61	11.66	32.39	125.31	NaN	0.84	NaN	5.29	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	53	07/30/17 12:50	-141.53	50.51	12.73	32.44	105.06	10.85	12.52	32.34	124.21	NaN	0.85	NaN	5.14	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	54	08/09/17 12:55	-141.38	50.50	13.38	32.42	104.94	11.24	13.75	32.34	125.57	NaN	0.84	NaN	5.37	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	55	08/19/17 12:55	-141.37	50.46	13.81	32.40	104.79	11.17	13.59	32.30	124.11	NaN	0.84	NaN	5.18	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	56	08/29/17 12:35	-141.36	50.42	13.89	32.39	104.63	11.18	13.56	32.28	123.64	NaN	0.85	NaN	5.13	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	57	09/08/17 12:30	-141.43	50.35	13.97	32.39	104.47	10.63	13.84	32.27	122.80	NaN	0.85	NaN	5.03	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	58	09/18/17 12:54	-141.57	50.30	13.81	32.39	104.14	11.37	13.11	32.33	123.86	NaN	0.84	NaN	5.26	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	59	09/28/17 12:50	-141.57	50.24	13.10	32.40	103.25	10.44	13.16	32.30	122.17	NaN	0.85	NaN	5.16	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	60	10/08/17 12:47	-141.68	50.21	12.35	32.41	102.40	10.47	12.46	32.26	121.97	NaN	0.84	NaN	5.28	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	61	10/18/17 12:53	-141.97	50.14	11.59	32.42	101.74	9.14	11.42	32.29	120.75	NaN	0.84	NaN	5.22	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	62	10/28/17 12:51	-142.14	50.15	10.80	32.44	101.48	10.31	10.44	32.34	120.68	NaN	0.84	NaN	5.25	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	63	11/07/17 12:55	-142.24	50.19	10.03	32.45	101.20	10.49	10.02	32.34	120.92	NaN	0.84	NaN	5.34	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	64	11/17/17 12:51	-142.29	50.31	9.27	32.46	100.99	10.29	9.08	32.39	119.75	NaN	0.84	NaN	5.20	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	65	11/27/17 12:55	-142.31	50.39	8.70	32.48	101.27	10.77	8.33	32.40	118.91	NaN	0.85	NaN	5.01	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	66	12/07/17 12:48	-142.25	50.49	8.14	32.49	101.52	9.69	7.71	32.39	120.12	NaN	0.85	NaN	5.16	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	67	12/17/17 12:48	-142.17	50.54	7.67	32.50	101.70	10.06	7.27	32.41	119.86	NaN	0.85	NaN	5.08	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	68	12/27/17 12:43	-142.04	50.49	7.41	32.51	100.85	10.15	7.01	32.40	120.60	NaN	0.84	NaN	5.36	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	69	01/06/18 12:47	-141.98	50.42	7.14	32.52	99.92	11.12	6.89	32.41	120.45	NaN	0.83	NaN	5.51	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	70	01/16/18 12:40	-142.01	50.34	6.86	32.54	98.98	11.72	6.84	32.39	119.74	NaN	0.83	NaN	5.57	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	71	01/26/18 12:45	-142.27	50.36	6.64	32.55	99.00	11.58	6.36	32.44	118.72	NaN	0.83	NaN	5.41	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	72	02/05/18 12:44	-142.47	50.35	6.44	32.56	98.98	10.15	6.24	32.46	119.29	NaN	0.83	NaN	5.50	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	73	02/15/18 12:42	-142.69	50.21	6.28	32.57	98.86	9.63	6.22	32.44	121.04	NaN	0.82	NaN	5.79	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	74	02/25/18 12:41	-143.01	50.35	6.18	32.59	99.47	9.50	6.12	32.46	122.04	NaN	0.82	NaN	5.83	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	75	03/07/18 12:40	-143.03	50.30	6.20	32.59	100.10	11.48	5.97	32.49	121.28	NaN	0.83	NaN	5.60	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	76	03/17/18 12:46	-143.16	50.46	6.13	32.60	100.61	10.38	5.93	32.51	121.32	NaN	0.83	NaN	5.51	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	77	03/27/18 12:47	-143.05	50.48	6.17	32.60	100.75	10.68	5.60	32.54	121.07	NaN	0.83	NaN	5.45	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	78	04/06/18 12:41	-143.11	50.69	6.12	32.60	100.89	10.02	5.77	32.51	121.74	NaN	0.83	NaN	5.53	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	79	04/16/18 12:41	-142.72	50.71	6.22	32.59	100.95	11.01	6.03	32.48	122.34	NaN	0.83	NaN	5.61	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	80	04/26/18 12:47	-142.61	50.62	6.56	32.59	102.31	10.83	6.42	32.47	123.88	NaN	0.83	NaN	5.59	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	81	05/06/18 12:41	-142.61	50.55	6.88	32.59	103.67	10.65	7.00	32.47	125.08	NaN	0.83	NaN	5.52	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	82	05/16/18 12:42	-142.68	50.52	7.20	32.59	104.97	10.07	7.64	32.47	125.58	NaN	0.84	NaN	5.37	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	83	05/26/18 12:44	-142.66	50.35	7.90	32.57	105.15	10.30	7.82	32.46	123.79	NaN	0.85	NaN	5.06	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	84	06/05/18 12:46	-143.01	50.45	8.46	32.55	105.31	10.29	8.23	32.46	124.45	NaN	0.85	NaN	5.14	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	85	06/15/18 12:44	-142.94	50.43	9.12	32.53	105.48	10.54	9.30	32.45	125.87	NaN	0.84	NaN	5.32	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	86	06/25/18 12:42	-142.96	50.60	9.88	32.52	105.33	11.07	9.75	32.45	124.70	NaN	0.84	NaN	5.17	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	87	07/05/18 12:46	-143.00	50.41	10.74	32.51	105.26	10.47	10.55	32.39	125.20	NaN	0.84	NaN	5.26	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	88	07/15/18 12:47	-143.07	50.61	11.50	32.50	104.94	10.65	11.45	32.37	126.41	NaN	0.83	NaN	5.49	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	89	07/25/18 12:34	-142.66	50.48	12.22	32.47	105.12	11.23	12.92	32.37	126.64	NaN	0.83	NaN	5.50	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	90	08/04/18 12:40	-142.73	50.25	12.90	32.45	105.30	11.09	13.74	32.34	124.25	NaN	0.85	NaN	5.11	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	91	08/14/18 12:46	-143.02	50.22	13.50	32.44	105.35	10.68	14.43	32.36	123.96	NaN	0.85	NaN	5.05	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	92	08/24/18 12:49	-143.35	50.17	13.57	32.43	105.23	11.55	14.57	32.33	123.93	NaN	0.85	NaN	5.07	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	93	09/03/18 12:40	-143.56	49.99	13.64	32.43	104.90	11.30	14.61	32.30	124.46	NaN	0.84	NaN	5.21	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	95	09/23/18 12:47	-143.37	49.65	13.35	32.43	103.88	11.25	14.37	32.35	123.40	NaN	0.84	NaN	5.23	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	96	10/03/18 12:46	-143.12	49.57	12.73	32.44	103.12	10.66	14.28	32.31	123.80	NaN	0.83	NaN	5.43	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	97	10/13/18 12:41	-142.79	49.57	12.08	32.44	102.32	9.52	14.46	32.31	123.46	NaN	0.83	NaN	5.53	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	98	10/23/18 12:47	-142.61	49.66	11.31	32.44	101.84	10.61	13.56	32.27	121.77	NaN	0.84	NaN	5.36	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	99	11/02/18 12:45	-142.37	49.85	10.51	32.45	101.44	10.63	12.47	32.29	120.87	NaN	0.84	NaN	5.29	NaN
meds	Blair Greenan	06/28/22 22:55	R	4901786	100	11/12/18 12:44	-142.45	50.09	9.66	32.46	101.08	9.58	11.42	32.30	121.59	NaN	0.83	NaN	5.47	NaN
meds	Blair Greenan	09/24/23 09:33	R	4902614	7	08/05/23 01:39	-131.28	51.86	14.13	31.66	119.43	5.90	13.31	31.91	87.43	NaN	1.37	NaN	6.51	NaN
meds	Blair Greenan	09/29/23 17:17	R	4902635	2	07/21/23 13:19	-139.10	52.18	12.52	32.39	104.05	3.38	10.81	35.51	54.01	NaN	9.47	NaN	187.99	NaN
